step,pred_api,gold_api,parse_ok,strict_correct,cumulative_regret
718,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,320.0000
719,Password Generator API%%Password of length 50,Password Generator API%%Base,1,0,321.0000
720,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,1,0,322.0000
721,getWolframAlphaResults,search_general,1,0,323.0000
722,forecast_weather,forecast_weather,1,0,324.0000
723,Car database%%Models,Car database%%Makes,1,0,325.0000
724,get_weather_today,get_weather_today,1,1,325.0000
725,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,1,0,326.0000
726,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,1,326.0000
727,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,1,0,327.0000
728,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,0,328.0000
729,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,1,328.0000
730,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,329.0000
731,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,1,329.0000
732,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,329.0000
733,siteDomain%%industry list,siteDomain%%industry list,1,0,330.0000
734,Car database%%Models,Car database%%Makes,1,0,331.0000
735,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,1,331.0000
736,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,331.0000
737,Password Generator API%%Password of length 50,Password Generator API%%Base,1,0,332.0000
738,Numbers,get_today_date,1,0,333.0000
739,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,333.0000
740,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,1,0,334.0000
741,search,disambiguation,1,0,335.0000
742,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,335.0000
743,Numbers,Numbers%%Get math fact,1,0,336.0000
744,Password Generator API%%Password of length 50,Password Generator API%%Base,1,0,337.0000
745,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,337.0000
746,thailand%%thai4,thailand%%thai4,1,1,337.0000
747,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,1,337.0000
748,search_places,search,1,0,338.0000
749,siteDomain%%industry list,siteDomain%%industry list,1,1,338.0000
