step,pred_api,gold_api,correct,cumulative_regret
738,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,get_today_date,0,292.0000
739,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,292.0000
740,siteDomain%%language list,Global Email V4%%Global Email V4,0,293.0000
741,search_places,disambiguation,0,294.0000
742,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,294.0000
743,Numbers%%Get math fact,Numbers%%Get math fact,1,294.0000
744,Password Generator API%%Base,Password Generator API%%Base,1,294.0000
745,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,294.0000
746,thailand%%thai4,thailand%%thai4,1,294.0000
747,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,294.0000
748,Fluximmo%%get_portail_api,search,0,295.0000
749,siteDomain%%industry list,siteDomain%%industry list,1,295.0000
